FTLAB RADON DATA FILE
MODEL NAME:	Radon Eye Plus
S/N:	PE22111010060
Unit:	Bq/m3
Time step:	1hour
Data No :	1506
1)	2025-01-24 13:48:40	 37	13.0°C	63%
2)	2025-01-24 14:48:40	 21	12.5°C	63%
3)	2025-01-24 15:48:40	 43	13.0°C	63%
4)	2025-01-24 16:48:40	 34	12.5°C	63%
5)	2025-01-24 17:48:40	 30	12.5°C	63%
6)	2025-01-24 18:48:40	 84	12.0°C	64%
7)	2025-01-24 19:48:40	136	12.0°C	64%
8)	2025-01-24 20:48:40	178	12.0°C	64%
9)	2025-01-24 21:48:40	254	12.0°C	64%
10)	2025-01-24 22:48:40	293	12.0°C	64%
11)	2025-01-24 23:48:40	365	12.0°C	64%
12)	2025-01-25 00:48:40	426	12.0°C	64%
13)	2025-01-25 01:48:40	381	12.0°C	64%
14)	2025-01-25 02:48:40	407	12.0°C	63%
15)	2025-01-25 03:48:40	407	12.0°C	63%
16)	2025-01-25 04:48:40	460	12.0°C	63%
17)	2025-01-25 05:48:40	477	12.0°C	63%
18)	2025-01-25 06:48:40	493	12.0°C	63%
19)	2025-01-25 07:48:40	467	12.0°C	63%
20)	2025-01-25 08:48:40	562	12.0°C	63%
21)	2025-01-25 09:48:40	594	12.0°C	63%
22)	2025-01-25 10:48:40	552	12.5°C	63%
23)	2025-01-25 11:48:40	343	12.5°C	63%
24)	2025-01-25 12:48:40	190	12.5°C	63%
25)	2025-01-25 13:48:40	102	12.5°C	63%
26)	2025-01-25 14:48:40	 77	13.0°C	63%
27)	2025-01-25 15:48:40	 79	13.5°C	63%
28)	2025-01-25 16:48:40	138	13.0°C	64%
29)	2025-01-25 17:48:40	154	12.5°C	64%
30)	2025-01-25 18:48:40	205	12.5°C	64%
31)	2025-01-25 19:48:40	341	12.5°C	64%
32)	2025-01-25 20:48:40	389	12.5°C	64%
33)	2025-01-25 21:48:40	477	12.5°C	64%
34)	2025-01-25 22:48:40	601	12.5°C	64%
35)	2025-01-25 23:48:40	524	12.0°C	63%
36)	2025-01-26 00:48:40	626	12.0°C	63%
37)	2025-01-26 01:48:40	535	12.0°C	63%
38)	2025-01-26 02:48:40	568	12.0°C	63%
39)	2025-01-26 03:48:40	571	12.0°C	63%
40)	2025-01-26 04:48:40	516	12.0°C	63%
41)	2025-01-26 05:48:40	621	12.0°C	63%
42)	2025-01-26 06:48:40	592	12.0°C	63%
43)	2025-01-26 07:48:40	668	12.0°C	63%
44)	2025-01-26 08:48:40	655	12.0°C	63%
45)	2025-01-26 09:48:40	729	12.0°C	63%
46)	2025-01-26 10:48:40	579	12.0°C	63%
47)	2025-01-26 11:48:40	434	12.0°C	62%
48)	2025-01-26 12:48:40	240	12.5°C	62%
49)	2025-01-26 13:48:40	159	12.5°C	63%
50)	2025-01-26 14:48:40	 71	12.5°C	63%
51)	2025-01-26 15:48:40	 84	12.5°C	63%
52)	2025-01-26 16:48:40	 83	12.5°C	64%
53)	2025-01-26 17:48:40	 81	12.0°C	65%
54)	2025-01-26 18:48:40	128	12.0°C	65%
55)	2025-01-26 19:48:40	205	12.0°C	65%
56)	2025-01-26 20:48:40	424	12.0°C	64%
57)	2025-01-26 21:48:40	522	12.0°C	64%
58)	2025-01-26 22:48:40	645	12.0°C	64%
59)	2025-01-26 23:48:40	645	12.0°C	64%
60)	2025-01-27 00:48:40	664	12.0°C	63%
61)	2025-01-27 01:48:40	729	12.0°C	63%
62)	2025-01-27 02:48:40	777	12.0°C	63%
63)	2025-01-27 03:48:40	725	12.0°C	63%
64)	2025-01-27 04:48:40	666	12.0°C	64%
65)	2025-01-27 05:48:40	712	12.0°C	64%
