q,tau,alpha,f_alpha
-5.0,-38.965811118115184,7.786562160657098,0.033000314829692456
-4.5,-35.072530037786635,7.790483227711427,0.015355513085211214
-4.0,-31.175327890403757,7.800369299094683,-0.026149305974975334
-3.5,-27.27216073869195,7.815023391385473,-0.0804211311572054
-3.0,-23.360304499018284,7.835317795557838,-0.14564888765523065
-2.5,-19.436842943134113,7.859835590462527,-0.21274603302220285
-2.0,-15.500468908555757,7.88157265737539,-0.2626764061950233
-1.5,-11.555270285758724,7.885703701590563,-0.27328526662711994
-1.0,-7.614765206965194,7.860549121496924,-0.24578391453173065
-0.5,-3.694721164261799,6.614765206965194,0.38733856077920237
0.0,-1.0,3.0983595779081785,1.0
0.5,-0.5963615863536209,0.8182425213147687,1.0054828470110053
1.0,-0.1817574786852313,0.7909493898548206,0.9727068685400518
1.5,0.19458780350119964,0.690627775001695,0.841353859001343
2.0,0.5088702963164637,0.5704100367722007,0.6319497772279377
2.5,0.7649978402734003,0.4729107608111025,0.41727906175435603
3.0,0.9817810571275662,0.4114560108449248,0.2525869754072081
3.5,1.1764538511183251,0.3776388093649736,0.14528198165908268
4.0,1.3594198664925399,0.3596486142256352,0.07917459041000097
4.5,1.5361024653439603,0.34985097097723994,0.03822690405361939
5.0,1.7092708374697798,0.34633674425163896,0.022412883788414995
